1분류,2분류,3분류,3분류_정규화,3분류_유형,기존_세부분류,검색상태,출처URL,메모,차수,같은품종_동일유통명,겉모양_유사품종,단면_유사품종,겉색,과육색,사진대체_가능여부,사진대체_주의사항
곡물,견과,가평잣,가평잣,산지,견과·종실,사용,https://nfsv.forest.go.kr/kfsweb/cmm/fms/FileDown.do?atchFileId=FILE_000000020126117&bbsId=BBSMSTR_1068&fileSn=0,실제 특산·유통 지역명 1차 검증,1차,,,,,,조건부 가능,
곡물,견과,견과,견과,대표 원물명,견과·종실,사용,,2분류 대표품목 기본 검색어 확정 보강,전수검수v2,,,,,,조건부 가능,
곡물,견과,공주정안밤,공주정안밤,산지,견과·종실,사용,https://nfsv.forest.go.kr/kfsweb/cmm/fms/FileDown.do?atchFileId=FILE_000000020126117&bbsId=BBSMSTR_1068&fileSn=0,실제 특산·유통 지역명 1차 검증,1차,,,,,,조건부 가능,
곡물,견과,김천호두,김천호두,산지,견과·종실,사용,https://nfsv.forest.go.kr/kfsweb/cmm/fms/FileDown.do?atchFileId=FILE_000000020126117&bbsId=BBSMSTR_1068&fileSn=0,실제 특산·유통 지역명 1차 검증,1차,,,,,,조건부 가능,
곡물,견과,무주호두,무주호두,산지,견과·종실,사용,https://nfsv.forest.go.kr/kfsweb/cmm/fms/FileDown.do?atchFileId=FILE_000000020126117&bbsId=BBSMSTR_1068&fileSn=0,실제 특산·유통 지역명 1차 검증,1차,,,,,,조건부 가능,
곡물,견과,정안밤,정안밤,산지,견과·종실,사용,https://nfsv.forest.go.kr/kfsweb/cmm/fms/FileDown.do?atchFileId=FILE_000000020126117&bbsId=BBSMSTR_1068&fileSn=0,실제 특산·유통 지역명 1차 검증,1차,,,,,,조건부 가능,
곡물,견과,천안호두,천안호두,산지,견과·종실,사용,https://nfsv.forest.go.kr/kfsweb/cmm/fms/FileDown.do?atchFileId=FILE_000000020126117&bbsId=BBSMSTR_1068&fileSn=0,실제 특산·유통 지역명 1차 검증,1차,,,,,,조건부 가능,
곡물,귀리,강진귀리,강진귀리,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,겉귀리,겉귀리,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,고창귀리,고창귀리,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,국산귀리,국산귀리,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,귀리,귀리,원물,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,귀리쌀,귀리쌀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,대양귀리,대양귀리,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,롤드오트,롤드오트,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,롤드오트귀리,롤드오트귀리,표기변형,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,기존 '롤드오트'의 검색용 결합표기 자동 확장,확장1차,,,,,,조건부 가능,
곡물,귀리,발아귀리,발아귀리,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,수양귀리,수양귀리,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,스틸컷오트,스틸컷오트,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,스틸컷오트귀리,스틸컷오트귀리,표기변형,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,기존 '스틸컷오트'의 검색용 결합표기 자동 확장,확장1차,,,,,,조건부 가능,
곡물,귀리,쌀귀리,쌀귀리,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,압착귀리,압착귀리,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,오트,오트,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,오트귀리,오트귀리,표기변형,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,기존 '오트'의 검색용 결합표기 자동 확장,확장1차,,,,,,조건부 가능,
곡물,귀리,오트밀,오트밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,오트밀귀리,오트밀귀리,표기변형,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,기존 '오트밀'의 검색용 결합표기 자동 확장,확장1차,,,,,,조건부 가능,
곡물,귀리,정읍귀리,정읍귀리,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,제주귀리,제주귀리,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,조양귀리,조양귀리,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,퀵오트,퀵오트,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,귀리,퀵오트귀리,퀵오트귀리,표기변형,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,기존 '퀵오트'의 검색용 결합표기 자동 확장,확장1차,,,,,,조건부 가능,
곡물,귀리,해남귀리,해남귀리,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,강원기장,강원기장,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,금실찰기장,금실찰기장,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,기장,기장,원물,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,기장쌀,기장쌀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,메기장,메기장,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,붉은기장,붉은기장,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,이백찰기장,이백찰기장,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,정선기장,정선기장,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,제주기장,제주기장,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,찰기장,찰기장,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,청기장,청기장,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,한라찰기장,한라찰기장,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,홍천기장,홍천기장,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,기장,황기장,황기장,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 14차 보강,14차,,,,,,조건부 가능,
곡물,들깨,거피들깨,거피들깨,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,괴산들깨,괴산들깨,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,국산들깨,국산들깨,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,금산들깨,금산들깨,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
